,timedelta
552,57
553,14
554,13
557,52
558,31
559,18
562,32
563,17
565,9
566,20
567,7
568,21
570,50
571,33
572,13
574,18
576,6
577,26
578,33
579,5
582,33
584,25
585,31
586,4
587,45
588,26
590,14
593,44
596,26
604,29
606,37
608,17
609,35
610,23
611,26
612,6
614,37
615,8
616,53
617,31
622,15
624,28
625,30
626,11
627,6
628,16
629,10
630,51
631,42
633,49
635,58
638,17
640,15
641,4
642,14
643,29
644,4
645,17
648,43
649,8
650,30
652,42
655,3
656,24
657,4
659,29
660,16
661,11
662,16
663,6
664,32
665,6
666,37
670,1
671,53
672,24
674,8
676,28
677,46
680,52
681,39
682,4
683,44
685,13
686,36
687,8
690,13
692,5
695,59
696,17
699,58
703,4
704,59
705,4
706,16
708,11
709,7
711,56
712,49
713,9
714,53
715,27
719,11
720,45
721,10
722,15
723,30
727,9
728,55
729,1
730,46
731,4
733,25
734,53
735,39
737,12
738,6
739,51
740,52
742,47
743,3
744,3
746,46
747,56
749,18
751,8
756,51
759,43
761,33
762,7
763,10
765,13
767,49
768,17
771,57
772,59
776,53
778,19
781,19
784,19
785,44
786,5
787,43
789,6
790,20
791,6
792,34
793,22
794,6
795,31
797,32
798,31
799,11
800,31
801,29
805,35
806,37
807,20
809,14
811,7
812,24
813,42
816,22
821,31
822,23
824,37
825,1
826,42
827,11
828,48
829,34
831,45
835,39
836,8
840,51
842,37
844,1
845,37
848,2
850,26
851,15
852,29
853,30
855,35
857,5
859,46
860,5
863,35
864,8
866,15
868,16
869,20
870,20
874,41
875,8
876,59
877,16
878,49
879,31
881,11
882,1
883,49
885,24
887,38
888,52
889,6
892,2
893,57
895,1
896,19
897,55
899,34
900,9
902,10
904,27
905,54
906,56
907,57
908,44
909,4
911,12
912,52
913,30
914,15
916,48
918,19
920,6
921,51
922,48
924,21
927,52
928,10
929,59
930,11
932,50
933,37
934,41
935,16
936,42
938,58
939,2
940,14
941,1
942,21
944,38
946,8
947,54
948,20
949,16
952,26
953,43
960,27
961,26
963,20
965,26
966,39
970,10
971,58
974,25
977,14
978,2
979,4
980,56
982,41
983,6
987,48
988,52
989,9
990,40
992,48
993,39
994,13
995,46
998,38
1000,31
1001,32
1002,4
1003,0
1005,5
1007,22
1010,16
1014,4
1015,0
1017,41
1018,48
1021,41
1022,16
1028,24
1030,39
1031,24
1032,7
1033,3
1034,42
1035,2
1039,30
1042,18
1046,60
1047,11
1048,44
1049,47
1051,6
1055,32
1056,49
1057,49
1058,24
1060,53
1063,32
1065,14
1066,13
1067,25
1068,24
1069,60
1070,51
1071,24
1073,45
1075,6
1076,29
1079,14
1081,39
1082,42
1083,34
1085,38
1086,24
1090,54
1091,19
1092,22
1101,54
1102,15
1103,34
1105,26
1106,3
1107,2
1109,34
1112,53
1113,42
1114,3
1116,42
1118,12
1119,15
1120,1
1121,22
1123,49
1125,51
1126,1
1130,4
1131,50
1132,59
1133,23
1134,49
1136,7
1139,39
1140,13
1142,8
1144,8
1145,47
1146,32
1148,7
1149,36
1150,51
1152,18
1153,59
1155,14
1157,56
1159,48
1161,11
1165,10
1167,18
1168,27
1173,2
1176,31
1180,4
1181,48
1184,20
1185,3
1187,48
1190,8
1191,3
1192,11
1193,17
1194,14
1196,1
1198,0
1200,31
1204,17
1205,57
1206,12
1208,29
1209,18
1211,47
1212,23
1214,9
1215,7
1216,11
1218,23
1219,56
1223,38
1226,14
1227,30
1230,28
1231,8
1234,39
1235,9
1236,12
1238,13
1240,44
1241,22
1243,15
1244,8
1246,24
1249,48
1250,15
1253,32
1256,25
1258,18
1259,13
1260,7
1262,20
1263,10
1264,46
1265,8
1267,26
1272,7
1274,49
1276,44
1278,28
1279,22
1281,20
1282,14
1286,52
1288,43
1290,22
1294,6
1296,1
1301,55
1302,6
1306,14
1308,19
1309,24
1312,17
1314,47
1315,14
1317,3
1318,43
1320,8
1322,6
1325,21
1326,34
1327,14
1329,23
1333,46
1337,6
1340,37
1341,22
1342,37
1344,43
1348,51
1349,34
1352,39
1353,8
1355,48
1357,27
1359,37
1362,47
1366,31
1368,3
1369,3
1370,13
1371,44
1372,13
1373,5
1375,12
1376,7
1381,40
1382,21
1383,54
1384,50
1385,3
1386,57
1388,3
1389,41
1390,35
1392,20
1394,22
1395,25
1397,4
1398,13
1400,12
1401,16
1402,26
1403,36
1404,24
1405,9
1407,22
1408,38
1409,29
1412,50
1414,25
1415,29
1419,4
1421,59
1422,29
1423,1
1425,3
1426,47
1429,59
1432,5
1433,37
1434,3
1437,9
1438,23
1439,30
1440,24
1441,5
1442,5
1445,36
1446,55
1447,42
1449,38
1453,23
1454,15
1455,38
1456,27
1458,23
1459,4
1460,52
1462,58
1468,3
1469,2
1471,12
1473,25
1474,17
1476,48
1478,31
1483,0
1486,48
1487,54
1489,12
1490,4
1494,21
1497,34
1499,39
1503,19
1507,1
1509,54
1510,2
1511,6
1512,5
1515,48
1516,6
1517,5
1520,46
1521,40
1522,23
1524,60
1525,33
1526,15
1527,7
1528,19
1529,25
1530,0
1531,51
1533,43
1534,19
1535,46
1537,3
1538,26
1542,36
1543,19
1544,43
1547,19
1552,6
1556,44
1558,57
1559,12
1560,48
1561,39
1562,50
1564,5
1566,35
1567,26
1568,46
1569,15
1570,6
1571,39
1573,13
1575,6
1579,53
1580,35
1584,35
1586,4
1587,35
1588,11
1589,47
1593,60
1594,41
1595,14
1597,56
1598,5
1599,11
1600,28
1603,44
1605,23
1606,26
1608,24
1609,11
1610,48
1611,33
1612,56
1613,18
1614,2
1616,2
1617,12
1618,28
1619,16
1620,6
1621,43
1622,10
1625,6
1627,39
1632,23
1636,5
1637,6
1638,35
1639,52
1640,52
1641,40
1646,45
1648,31
1652,31
1653,4
1654,33
1656,60
1659,32
1660,30
1663,26
1664,43
1665,26
1669,8
1672,52
1673,19
1674,46
1675,56
1677,30
1678,4
1679,8
1681,18
1683,57
1684,42
1688,4
1689,20
1691,18
1693,55
1695,8
1696,15
1699,56
1700,33
1701,51
1706,22
1707,4
1708,43
1711,14
1712,15
1715,40
1716,0
1717,46
1722,22
1723,16
1724,31
1726,20
1728,27
1729,3
1730,33
1731,23
1733,33
1735,24
1737,43
1738,49
1741,27
1742,8
1743,20
1744,33
1746,29
1747,7
1748,35
1750,0
1754,33
1755,33
1756,20
1758,43
1759,5
1760,1
1761,58
1762,25
1766,55
1767,57
1769,31
1772,60
1776,24
1777,34
1778,3
1779,48
1780,56
1781,11
1782,20
1784,57
1787,53
1788,25
1791,14
1792,60
1795,2
1796,43
1798,41
1801,51
1802,59
1805,9
1808,16
1810,47
1811,1
1812,13
1813,51
1814,1
1817,44
1818,4
1819,45
1820,50
1822,27
1823,16
1824,16
1825,54
1827,17
1828,9
1829,22
1831,42
1834,8
1838,41
1839,30
1840,13
1841,27
1843,36
1844,44
1848,30
1849,28
1853,52
1854,33
1855,37
1857,23
1858,2
1860,21
1861,52
1865,17
1868,21
1869,48
1871,31
1872,54
1874,54
1875,53
1876,13
1877,51
1881,8
1883,2
1884,52
1885,2
1886,2
1887,33
1889,38
1890,43
1892,41
1897,44
1898,8
1899,13
1902,48
1903,6
1905,4
1906,33
1907,0
1908,9
1910,2
1911,33
1912,41
1913,54
1914,15
1918,22
1919,3
1921,56
1922,50
1924,32
1928,4
1929,2
1931,3
1933,33
1937,20
1939,56
1941,18
1942,4
1946,60
1948,11
1949,25
1950,50
1951,1
1955,19
1958,22
1961,13
1962,11
1963,37
1964,51
1965,7
1970,6
1972,27
1973,18
1976,11
1977,58
1978,2
1979,37
1980,14
1981,1
1985,10
1987,16
1989,14
1997,2
1999,15
2000,33
2001,11
2002,7
2003,39
2004,22
2005,12
2006,16
2008,25
2010,22
2013,33
2014,13
2019,23
2021,43
2025,31
2026,5
2027,19
2028,53
2029,0
2033,37
2038,12
2040,27
2041,53
2044,24
2045,59
2047,36
2049,58
2050,9
2051,7
2053,0
2054,24
2056,30
2059,3
2060,34
2062,2
2066,8
2067,11
2068,58
2069,19
2070,2
2073,10
2076,26
2079,0
2081,17
2085,12
2086,11
2090,44
2091,10
2093,56
2094,44
2097,4
2098,1
2099,17
2100,37
2101,5
2103,41
2105,38
2106,31
2107,49
2109,4
2113,17
2114,1
2118,12
2119,52
2121,42
2123,9
2128,17
2129,58
2130,9
2132,44
2133,36
2141,17
2143,16
2144,13
2145,28
2146,42
2148,7
2152,15
2157,55
2159,57
2162,11
2163,10
2164,3
2166,14
2167,3
2168,20
2169,44
2170,27
2171,2
2174,6
2177,38
2178,32
2179,23
2180,34
2182,6
2183,37
2184,26
2186,52
2187,7
2188,8
2190,25
2193,16
2197,36
2198,58
2199,19
2201,10
2202,7
2203,2
2204,3
2207,32
2208,1
2209,23
2210,3
2211,4
2212,48
2213,49
2215,12
2218,54
2220,57
2221,38
2224,11
2225,4
2226,30
2227,5
2228,22
2229,46
2230,22
2231,42
2236,42
2238,44
2239,21
2243,42
2247,38
2248,45
2250,42
2257,15
2258,13
2260,28
2262,19
2264,51
2266,4
2267,6
2268,43
2269,56
2270,18
2271,56
2274,22
2275,49
2278,34
2279,54
2280,44
2281,36
2282,8
2284,10
2285,10
2286,18
2288,5
2292,18
2293,19
2294,5
2295,58
2300,20
2301,16
2303,34
2308,5
2310,14
2311,2
2317,49
2318,46
2320,13
2325,49
2326,44
2328,9
2331,33
2332,32
2333,38
2337,15
2339,27
2340,13
2343,1
2344,27
2345,13
2346,11
2347,3
2348,26
2349,20
2350,45
2353,25
2357,3
2358,5
2359,28
2361,19
2362,27
2363,13
2364,19
2365,29
2367,20
2368,38
2370,23
2372,20
2373,1
2374,51
2377,4
2378,8
2379,14
2380,15
2382,22
2383,23
2384,14
2385,1
2390,22
2391,6
2393,7
2394,12
2395,27
2396,35
2399,40
2402,23
2403,4
2404,8
2405,48
2406,21
2407,47
2409,35
2410,27
2411,40
2412,50
2415,19
2418,33
2419,1
2421,16
2424,55
2425,20
2430,5
2431,26
2434,60
2436,46
2438,2
2439,23
2440,15
2441,35
2442,16
2443,45
2444,11
2445,13
2452,28
2453,9
2454,37
2456,33
2461,3
2462,6
2466,2
2467,36
2468,52
2470,7
2474,21
2476,11
2479,15
2483,5
2485,29
2487,21
2491,18
2495,34
2496,24
2499,41
2501,33
2502,1
2504,25
2506,28
2507,12
2508,13
2509,43
2510,22
2511,31
2512,39
2513,34
2521,18
2522,4
2524,2
2525,48
2527,1
2528,42
2529,44
2531,17
2533,32
2535,38
2537,16
2540,3
2541,12
2542,6
2543,24
2545,56
2546,27
2547,48
2549,52
2552,57
2553,7
2554,19
2555,12
2556,1
2558,5
2565,12
2566,32
2569,55
2573,39
2574,9
2575,13
2576,6
2578,8
2579,15
2581,18
2582,11
2583,3
2584,18
2585,41
2586,40
2590,23
2592,37
2593,9
2594,41
2597,26
2598,47
2599,32
2600,45
2601,22
2602,8
2604,12
2607,51
2609,20
2614,44
2618,34
2619,42
2620,7
2621,41
2622,24
2623,31
2625,24
2626,25
2628,28
2630,36
2631,35
2632,31
2633,29
2634,21
2635,14
2637,21
2639,20
2640,29
2641,59
2645,18
2646,29
2647,25
2649,14
2651,34
2653,15
2654,33
2656,18
2659,59
2661,1
2662,54
2666,35
2667,51
2669,23
2671,51
2672,32
2673,14
2674,41
2678,18
2680,40
2681,38
2683,17
2685,24
2686,56
2687,26
2688,51
2689,49
2691,37
2693,41
2697,20
2698,31
2699,29
2700,57
2701,41
2702,59
2703,17
2704,4
2707,54
2713,31
2714,24
2716,39
2718,59
2719,60
2720,44
2722,10
2723,8
2724,2
2725,28
2727,59
2729,7
2730,21
2735,8
2738,14
2739,10
2741,11
2742,4
2743,41
2744,2
2747,11
2749,31
2751,7
2752,5
2753,6
2755,3
2760,39
2761,29
2764,44
2765,21
2766,30
2767,45
2768,10
2769,47
2771,34
2772,11
2777,4
2778,19
2779,60
2782,6
2783,2
2784,1
2788,11
2789,50
2790,60
2791,22
2794,45
2795,30
2796,19
2798,3
2799,36
2801,18
2803,2
2805,43
2806,16
2807,29
2808,22
2809,22
2810,15
2811,46
2812,17
2814,15
2815,21
2816,18
2817,40
2819,0
2820,33
2821,47
2822,22
2823,12
2824,28
2825,1
2827,57
2828,8
2830,50
2832,18
2834,43
2837,49
2839,53
2842,9
2843,5
2844,34
2848,60
2850,33
2853,17
2855,57
2856,25
2859,13
2861,49
2862,11
2868,47
2869,26
2870,8
2871,19
2872,55
2873,26
2874,33
2875,31
2879,53
2882,34
2883,21
2884,25
2888,6
2890,16
2891,52
2894,32
2895,52
2896,21
2898,40
2899,44
2900,8
2903,24
2904,8
2906,27
2907,2
2908,8
2909,40
2910,27
2911,15
2912,15
2914,12
2915,5
2918,39
2919,51
2921,45
2922,2
2925,20
2926,8
2928,2
2930,35
2931,1
2935,58
2937,20
2939,29
2940,49
2942,60
2945,56
2949,6
2951,49
2953,58
2955,10
2957,21
2958,31
2962,50
2963,34
2964,36
2968,19
2969,48
2970,46
2972,58
2973,39
2974,17
2976,57
2980,46
2982,24
2988,21
2989,7
2990,31
2992,46
2993,32
2994,14
2998,2
3000,56
3002,44
3004,55
3005,2
3006,32
3007,28
3008,33
3014,56
3016,28
3019,34
3023,26
3026,10
3031,37
3033,21
3036,6
3037,39
3041,39
3042,34
3044,58
3045,36
3046,3
3047,12
3048,5
3050,20
3052,20
3053,50
3054,34
3057,34
3058,48
3059,4
3060,42
3061,42
3062,15
3066,15
3067,29
3074,7
3077,42
3080,54
3082,59
3084,10
3085,57
3086,48
3088,6
3089,35
3090,17
3092,43
3093,10
3094,0
3096,41
3097,12
3098,24
3100,3
3104,1
3106,48
3107,23
3108,21
3112,7
3113,11
3114,10
3116,24
3120,53
3124,28
3125,16
3126,1
3127,21
3128,54
3129,32
3131,57
3132,42
3135,36
3136,15
3137,13
3139,27
3140,28
3142,23
3145,30
3146,26
3151,19
3153,6
3154,12
3155,3
3156,15
3157,23
3163,28
3164,31
3165,50
3167,38
3169,11
3173,10
3178,44
3180,18
3181,28
3183,27
3186,45
3188,6
3192,3
3193,35
3195,24
3197,37
3199,9
3200,10
3202,46
3205,45
3206,4
3207,42
3208,48
3209,25
3211,44
3213,11
3214,40
3215,42
3216,31
3219,29
3221,37
3222,15
3224,51
3228,0
3230,27
3231,3
3233,42
3234,37
3239,43
3240,17
3241,50
3243,56
3244,43
3245,56
3246,13
3251,0
3252,5
3253,14
3254,1
3256,16
3257,28
3258,0
3259,25
3260,1
3262,8
3263,12
3264,23
3265,48
3268,25
3271,15
3272,13
3274,5
3275,37
3278,25
3279,22
3281,55
3282,59
3283,39
3285,4
3288,4
3291,8
3292,17
3296,34
3298,37
3300,5
3301,15
3302,51
3304,14
3305,29
3306,14
3309,35
3311,12
3312,35
3313,10
3315,2
3316,33
3319,9
3320,39
3321,24
3323,60
3325,1
3326,44
3330,10
3331,3
3332,11
3335,16
3336,57
3342,39
3343,57
3344,38
3345,25
3347,31
3348,7
3351,44
3352,36
3354,14
3356,58
3357,20
3358,32
3359,45
3362,49
3363,4
3364,33
3366,23
3368,7
3369,37
3371,23
3372,12
3375,18
3376,42
3379,35
3380,35
3383,60
3384,25
3386,27
3387,17
3389,15
3390,19
3391,54
3392,48
3393,16
3394,23
3395,39
3399,29
3400,43
3401,21
3402,13
3403,9
3405,59
3406,9
3408,46
3409,34
3410,23
3411,11
3413,18
3414,44
3415,29
3419,51
3420,11
3421,19
3423,45
3425,34
3427,20
3431,1
3433,16
3434,33
3435,57
3439,27
3441,7
3442,14
3446,17
3448,25
3453,42
3457,19
3459,49
3462,36
3463,38
3464,44
3466,11
3467,40
3470,5
3471,36
3472,35
3473,11
3478,29
3483,53
3486,21
3487,25
3488,26
3489,22
3490,6
3491,38
3492,4
3493,18
3498,2
3500,21
3501,19
3503,0
3506,42
3507,7
3508,34
3510,3
3512,20
3515,42
3516,36
3520,55
3521,7
3525,14
3526,29
3527,9
3541,15
3545,44
3546,25
3548,6
3552,22
3553,56
3554,47
3555,43
3557,26
3561,58
3562,11
3565,18
3567,6
3570,29
3571,50
3576,6
3577,50
3581,19
3585,18
3588,20
3590,34
3591,7
3592,8
3593,7
3597,36
3598,22
3599,49
3600,9
3601,8
3603,37
3604,14
3607,21
3611,46
3613,16
3614,44
3615,50
3618,9
3619,2
3621,0
3624,17
3626,57
3629,12
3633,49
3636,32
3638,1
3641,23
3644,4
3648,35
3649,15
3652,34
3653,23
3654,0
3656,59
3662,50
3663,10
3665,30
3666,20
3668,1
3669,29
3670,4
3671,37
3673,47
3677,54
3678,5
3679,32
3681,55
3683,5
3684,37
3688,44
3690,60
3691,15
3692,8
3693,51
3694,5
3695,19
3697,51
3698,46
3700,13
3701,56
3703,41
3704,22
3707,1
3710,60
3712,27
3714,22
3716,54
3719,4
3726,27
3727,1
3729,50
3732,2
3733,57
3737,0
3739,38
3742,33
3744,58
3745,51
3747,17
3748,8
3751,34
3755,35
3756,28
3758,28
3760,47
3761,27
3763,26
3765,41
3766,24
3767,44
3768,47
3769,32
3770,23
3771,57
3772,18
3776,5
3777,14
3781,0
3782,12
3785,27
3786,52
3787,45
3788,20
3789,44
3791,31
3792,12
3793,16
3797,58
3798,36
3799,9
3804,21
3807,6
3808,39
3809,23
3813,43
3814,51
3815,17
3816,31
3817,19
3818,14
3819,13
3820,6
3822,8
3824,42
3825,20
3826,11
3827,41
3828,42
3830,3
3831,58
3832,21
3834,23
3836,16
3838,21
3840,36
3843,12
3844,8
3845,13
3846,36
3849,45
3850,43
3851,56
3852,15
3853,28
3855,42
3858,32
3863,25
3864,55
3865,12
3868,45
3870,42
3873,36
3876,24
3881,8
3882,27
3884,21
3885,6
3888,15
3889,57
3894,2
3896,7
3897,58
3899,52
3900,13
3901,45
3903,46
3904,2
3905,14
3908,3
3909,28
3911,0
3912,39
3913,7
3916,44
3922,34
3923,51
3924,10
3925,24
3926,5
3928,24
3930,50
3931,1
3934,20
3935,10
3939,11
3941,9
3942,37
3943,5
3944,47
3945,16
3947,41
3948,11
3949,15
3950,35
3951,57
3954,29
3956,31
3960,58
3961,42
3962,45
3963,9
3965,3
3970,14
3971,5
3972,43
3975,0
3976,52
3977,16
3982,22
3983,40
3984,55
3987,26
3988,2
3989,14
3991,53
3994,33
3996,38
3997,13
3998,7
3999,1
4001,29
4002,49
4003,30
4004,8
4005,49
4010,55
4012,5
4013,59
4014,24
4016,28
4017,13
4018,17
4019,32
4020,11
4022,14
4029,40
4031,28
4034,18
4036,29
4037,5
4040,56
4043,42
4044,50
4045,40
4046,55
4047,43
4048,17
4050,28
4051,2
4054,8
4056,32
4059,25
4061,18
4063,7
4064,25
4065,46
4066,31
4067,26
4071,28
4072,7
4073,31
4075,30
4076,28
4077,56
4078,30
4080,7
4081,6
4083,37
4084,39
4085,12
4090,7
4091,4
4093,49
4096,34
4100,17
4103,52
4104,56
4105,6
4106,43
4107,34
4108,37
4112,55
4115,42
4119,16
4120,46
4121,6
4123,43
4126,46
4127,23
4128,53
4131,43
4133,36
4134,53
4135,17
4136,5
4137,9
4141,49
4142,12
4144,16
4145,4
4150,13
4159,56
4160,25
4162,39
4166,39
4167,1
4168,38
4169,43
4170,18
4173,53
4174,22
4175,8
4179,1
4180,31
4181,54
4185,21
4186,39
4187,31
4188,59
4192,28
4193,47
4198,42
4199,34
4202,11
4205,42
4206,28
4208,8
4209,34
4210,13
4211,21
4212,44
4214,19
4218,3
4219,26
4220,17
4224,54
4225,9
4226,53
4228,1
4231,8
4232,8
4233,6
4234,54
4236,22
4238,2
4239,9
4240,15
4241,14
4243,4
4246,46
4248,41
4250,22
4253,13
4254,27
4255,8
4256,53
4262,16
4264,11
4268,6
4272,51
4273,7
4274,47
4275,6
4277,30
4278,15
4280,2
4281,30
4282,32
4283,7
4284,31
4288,12
4291,7
4292,38
4298,20
4299,23
4300,17
4301,49
4303,15
4304,23
4308,3
4310,19
4315,59
4317,2
4318,12
4322,34
4323,48
4325,38
4327,8
4328,14
4329,34
4330,45
4331,21
4332,18
4335,40
4337,29
4339,55
4341,47
4344,10
4345,18
4347,23
4348,8
4350,16
4351,9
4352,55
4353,49
4355,9
4363,31
4368,24
4369,13
4370,13
4371,4
4373,54
4374,28
4378,24
4381,12
4384,54
4386,29
4388,16
4389,42
4390,30
4392,60
4394,10
4395,21
4397,31
4402,51
4403,10
4409,38
4411,12
4414,19
4417,53
4418,15
4419,18
4422,20
4423,10
4425,33
4426,37
4429,50
4431,56
4433,10
4435,30
4436,2
4437,40
4440,53
4443,12
4444,57
4445,27
4447,57
4449,37
4450,33
4452,32
4455,46
4456,33
4462,6
4463,22
4465,57
4467,8
4468,20
4472,59
4475,56
4476,29
4478,27
4479,33
4480,26
4489,36
4490,27
4492,42
4493,23
4494,7
4495,45
4499,7
4500,21
4501,38
4502,53
4503,29
4504,48
4505,11
4506,60
4511,10
4512,39
4516,45
4517,8
4519,27
4521,53
4522,6
4523,16
4524,47
4525,50
4528,38
4530,30
4532,26
4533,47
4535,36
4536,16
4538,26
4539,23
4541,21
4542,56
4543,50
4550,55
4551,52
4552,1
4553,39
4554,49
4556,8
4557,22
4559,37
4560,28
4562,50
4565,17
4566,40
4571,50
4575,58
4576,6
4578,2
4580,50
4581,41
4582,58
4583,10
4584,19
4585,43
4586,32
4587,24
4590,52
4595,35
4596,39
4597,34
4599,33
4600,7
4603,41
4604,52
4605,39
4606,0
4608,38
4610,37
4611,31
4613,13
4614,14
4618,26
4619,52
4621,25
4626,15
4630,25
4640,34
4641,9
4642,35
4643,55
4644,27
4648,15
4650,21
4651,34
4652,33
4653,24
4656,1
4657,21
4664,25
4670,46
4671,21
4673,36
4674,1
4676,31
4681,18
4682,35
4683,53
4685,10
4689,50
4691,13
4692,32
4693,14
4694,39
4698,8
4699,25
4701,45
4702,10
4705,30
4707,42
4711,44
4712,38
4713,0
4715,3
4716,56
4718,58
4720,55
4722,60
4723,21
4725,29
4726,43
4727,17
4729,41
4731,8
4733,30
4738,11
4741,19
4743,40
4749,13
4750,12
4755,27
4757,43
4762,30
4764,28
4765,52
4766,34
4768,45
4772,6
4774,12
4775,38
4779,24
4781,10
4784,48
4785,48
4786,23
4788,24
4791,2
4796,52
4797,25
4798,49
4800,6
4803,32
4805,55
4807,28
4808,11
4809,54
4810,11
4812,27
4813,42
4814,10
4821,39
4822,57
4823,3
4827,14
4828,14
4829,15
4833,27
4834,27
4835,9
4836,28
4838,3
4839,16
4840,44
4841,16
4842,19
4845,18
4846,43
4848,31
4850,49
4851,10
4852,47
4853,38
4854,57
4860,16
4861,38
4862,52
4864,7
4865,42
4866,3
4869,58
4871,20
4873,27
4874,1
4875,38
4876,16
4879,5
4880,12
4881,30
4884,3
4885,60
4887,28
4890,1
4895,58
4896,31
4897,12
4899,25
4900,9
4901,5
4904,33
4905,41
4907,50
4910,1
4911,9
4914,19
4917,39
4918,41
4920,45
4922,26
4926,9
4929,17
4937,19
4938,1
4939,21
4941,29
4942,26
4945,47
4946,29
4948,31
4954,58
4955,59
4956,5
4957,60
4959,28
4960,41
4963,2
4965,44
4966,33
4969,7
4971,48
4973,14
4975,23
4978,6
4986,15
4987,5
4988,40
4990,13
4994,54
4995,43
4996,31
5001,20
5002,28
5010,6
5013,5
5015,22
5017,15
5018,58
5020,51
5023,16
5024,9
5025,48
5026,12
5027,1
5030,59
5031,42
5034,21
5036,20
5037,60
5038,33
5039,20
5040,41
5041,15
5042,60
5045,11
5046,1
5047,16
5049,47
5050,20
5056,37
5057,25
5058,46
5060,29
5062,31
5065,9
5066,30
5068,16
5069,24
5070,18
5072,50
5074,25
5077,10
5079,3
5080,7
5085,55
5086,52
5088,14
5089,52
5090,2
5091,42
5092,58
5093,1
5094,30
5095,18
5099,19
5100,8
5102,22
5106,27
5108,28
5111,42
5114,25
5115,19
5116,27
5118,23
5120,46
5124,53
5125,18
5130,7
5131,18
5132,59
5134,22
5139,13
5140,4
5141,11
5142,24
5144,48
5147,14
5148,35
5154,33
5156,10
5157,4
5160,28
5161,18
5162,24
5165,23
5166,10
5167,11
5168,20
5172,17
5175,59
5179,10
5181,7
5182,18
5186,47
5187,17
5191,16
5192,36
5193,13
5197,4
5199,45
5201,49
5211,35
5212,22
5217,49
5219,36
5220,48
5221,7
5223,37
5224,3
5225,2
5229,8
5234,10
5235,26
5239,43
5240,27
5245,38
5251,18
5252,29
5253,2
5254,20
5256,3
5258,4
5260,45
5262,43
5265,38
5266,26
5267,18
5268,20
5269,42
5273,27
5275,13
5276,8
5279,33
5281,21
5286,39
5288,50
5289,24
5292,28
5293,54
5295,2
5296,11
5297,20
5302,16
5304,40
5311,37
5313,1
5314,6
5317,55
5318,26
5325,18
5326,9
5328,22
5329,34
5331,2
5332,30
5338,39
5339,41
5344,22
5345,60
5349,53
5350,36
5352,23
5353,18
5356,49
5357,12
5360,49
5362,27
5367,38
5369,4
5373,47
5376,25
5381,30
5382,47
5385,51
5387,47
5389,23
5390,33
5391,29
5393,22
5394,29
5397,6
5398,53
5403,18
5405,45
5406,15
5407,52
5409,23
5410,41
5412,47
5414,59
5418,27
5421,34
5423,41
5425,37
5426,40
5429,53
5440,3
5441,6
5443,33
5447,43
5450,7
5453,9
5456,9
5458,6
5460,2
5462,7
5463,27
5464,31
5466,58
5469,17
5470,47
5471,14
5472,45
5473,0
5483,44
5485,3
5488,11
